City ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,trairi,-3.2778,-39.2689,78.93,83,100,7.65,BR,1612054207
222,djenne,13.9061,-4.5533,70.25,20,0,10.13,ML,1612054208
223,fort nelson,58.8053,-122.7002,-5.8,65,75,1.99,CA,1612054208
224,salym,60.0625,71.4789,3.6,93,100,10.22,RU,1612054208
225,durango,24.8333,-104.8333,62.04,35,1,9.89,MX,1612054075
226,samsun,41.25,36.3333,50.0,57,75,4.61,TR,1612054208
227,lima,-12.0432,-77.0282,77.0,73,0,13.8,PE,1612054148
228,kuryk,43.2,51.65,41.56,78,93,9.53,KZ,1612054133
229,saint-augustin,51.226,-58.6502,28.81,92,100,16.96,CA,1612054209
230,bathsheba,13.2167,-59.5167,78.8,73,40,17.27,BB,1612054067
231,rio grande,-32.035,-52.0986,75.81,91,86,13.24,BR,1612054068
232,port hedland,-20.3167,118.5667,87.8,58,75,12.66,AU,1612054210
233,chara,56.9064,118.2631,-27.83,80,100,1.23,RU,1612054210
234,bintulu,3.1667,113.0333,77.0,94,40,3.96,MY,1612053920
235,porto novo,6.4965,2.6036,84.2,84,40,11.5,BJ,1612054211
236,kaeo,-35.1,173.7833,72.0,60,0,5.01,NZ,1612054211
237,codrington,-38.2667,141.9667,65.07,57,0,8.46,AU,1612054047
238,dakoro,14.5106,6.765,62.94,26,61,10.29,NE,1612053961
239,santa marta,11.2408,-74.199,84.2,54,20,14.97,CO,1612053918
240,ponta do sol,32.6667,-17.1,59.0,74,57,3.0,PT,1612054212
241,college,64.8569,-147.8028,-4.0,77,90,0.89,US,1612054212
242,yellowknife,62.456,-114.3525,-13.0,77,20,4.61,CA,1612054212
243,fleetwood,53.9253,-3.0109,36.0,88,100,1.01,GB,1612053948
244,waipawa,-41.4122,175.5153,71.01,63,0,10.36,NZ,1612054213
245,pontianak,-0.0333,109.3333,77.0,88,40,3.44,ID,1612054213
246,benghazi,32.1167,20.0667,61.99,78,0,9.91,LY,1612054213
247,tabuk,17.4189,121.4443,67.28,81,100,3.69,PH,1612054138
248,tezu,27.9167,96.1667,56.07,39,60,3.31,IN,1612054161
249,cacoal,-11.4386,-61.4472,75.56,93,100,3.31,BR,1612054214
250,pangnirtung,66.1451,-65.7125,-8.93,74,23,2.57,CA,1612054214
251,arona,28.0996,-16.681,62.6,77,20,9.22,ES,1612054214
252,namibe,-15.1961,12.1522,72.97,75,95,5.7,AO,1612054215
253,siderno,38.2779,16.302,57.99,29,100,4.0,IT,1612054215
254,thies,14.8342,-17.1061,71.6,60,0,11.5,SN,1612054215
255,komsomolskiy,40.4272,71.7189,33.8,47,100,4.61,UZ,1612054215
256,gumdag,39.2061,54.5906,45.0,80,16,6.64,TM,1612054216
257,egvekinot,66.3167,-179.1667,-21.41,84,100,10.69,RU,1612054216
258,ilulissat,69.2167,-51.1,6.8,61,90,8.05,GL,1612054216
259,yulara,-25.2406,130.9889,87.8,23,76,18.41,AU,1612054216
260,matara,5.9485,80.5353,76.28,85,93,3.67,LK,1612054216
261,boa vista,2.8197,-60.6733,78.8,69,75,11.5,BR,1612054217
262,cockburn town,21.4612,-71.1419,73.4,56,20,11.5,TC,1612054217
263,maceio,-9.6658,-35.7353,75.2,94,40,3.44,BR,1612054217
264,magadan,59.5667,150.8,-12.64,78,76,10.83,RU,1612054218
265,lavrentiya,65.5833,-171.0,-16.24,84,0,5.84,RU,1612054218
266,aklavik,68.2191,-135.0107,-16.6,76,90,5.75,CA,1612054218
267,rabo de peixe,37.8,-25.5833,62.6,88,75,16.11,PT,1612054218
268,rampur,28.8167,79.0333,43.7,60,0,5.17,IN,1612054219
269,hopelchen,19.7667,-89.85,78.8,53,40,9.22,MX,1612053969
270,tubuala,9.5167,-79.0333,78.8,69,40,10.36,PA,1612054219
271,mackay,-21.15,149.2,86.0,66,40,16.11,AU,1612054219
272,padang,-0.9492,100.3543,77.65,75,98,3.78,ID,1612054220
273,la marque,29.3686,-94.9713,69.01,88,90,14.97,US,1612054220
274,ati,13.2154,18.3353,69.44,22,4,11.3,TD,1612053960
275,kodino,63.7198,39.6447,13.1,97,100,4.0,RU,1612054220
276,paranaiba,-19.6772,-51.1908,79.07,68,100,2.53,BR,1612054221
277,kirakira,-10.4544,161.9205,83.91,79,99,14.76,SB,1612054221
278,saldanha,-33.0117,17.9442,63.63,92,0,1.63,ZA,1612054221
